date,rank,entity_id,kind,substation,chi,pool
2026-06-14,1,KLNC0132-A05,ap,Kalyanpur,0.2541147132169576,PH
2026-06-14,2,KLNC0135-A06,ap,Kalyanpur,0.2131267376212575,PH
2026-06-14,3,KLNC0017-A05,ap,Kalyanpur,0.17920974386293287,PH
2026-06-14,4,DHNC0028-A06,ap,Dhanmondi,0.1682317228016248,PH
2026-06-14,5,DHNC0001-A06,ap,Dhanmondi,0.16373812205448804,PH
2026-06-14,6,KLNC0060-A05,ap,Kalyanpur,0.1616263153370819,PH
2026-06-14,7,KLNC0120-A05,ap,Kalyanpur,0.1507975250880588,PH
2026-06-14,8,DHNC0043-A06,ap,Dhanmondi,0.14934919220032356,PH
2026-06-14,9,KLNC0229-A06,ap,Kalyanpur,0.13673982089449735,PH
2026-06-14,10,KLNC0045-A06,ap,Kalyanpur,0.13464244424010446,PH
2026-06-14,11,DHNC0042-A04,ap,Dhanmondi,0.13358692735757532,PH
2026-06-14,12,KLNC0292-A02,ap,Kalyanpur,0.12971418067721685,PH
2026-06-14,13,DHNC0122-A05,ap,Dhanmondi,0.12383645897257506,PH
2026-06-14,14,KLNC0241-A04,ap,Kalyanpur,0.12064634795701573,PH
2026-06-14,15,KLNC0233-A05,ap,Kalyanpur,0.11436107651864783,PH
2026-06-14,16,KLNC0181-A06,ap,Kalyanpur,0.11384904535763533,PH
2026-06-14,17,DHNC0113-A06,ap,Dhanmondi,0.11154979337194833,PH
2026-06-14,18,DHNC0051-A05,ap,Dhanmondi,0.11106232948436569,PH
2026-06-14,19,DHNC0017-A05,ap,Dhanmondi,0.1094310615051956,PH
2026-06-14,20,DHNC0021-A06,ap,Dhanmondi,0.1083645052875545,PH
2026-06-14,21,KLNC0132-M,mt,Kalyanpur,0.263715710723192,PH
2026-06-14,22,KLNC0135-M,mt,Kalyanpur,0.21490504465593335,PH
2026-06-14,23,KLNC0017-M,mt,Kalyanpur,0.19116248818556067,PH
2026-06-14,24,DHNC0001-M,mt,Dhanmondi,0.17158735316133542,PH
2026-06-14,25,KLNC0060-M,mt,Kalyanpur,0.16973989469988432,PH
2026-06-14,26,DHNC0028-M,mt,Dhanmondi,0.16927280801799807,PH
2026-06-14,27,KLNC0120-M,mt,Kalyanpur,0.16386023042609885,PH
2026-06-14,28,DHNC0043-M,mt,Dhanmondi,0.15950064845348313,PH
2026-06-14,29,KLNC0229-M,mt,Kalyanpur,0.14579926746294086,PH
2026-06-14,30,KLNC0045-M,mt,Kalyanpur,0.14541449417042707,PH
2026-06-14,31,DHNC0042-M,mt,Dhanmondi,0.14325381403131135,PH
2026-06-14,32,KLNC0292-M,mt,Kalyanpur,0.13403434558576705,PH
2026-06-14,33,KLNC0339-M,mt,Kalyanpur,0.13198813877629398,PH
2026-06-14,34,KLNC0241-M,mt,Kalyanpur,0.1313444626351031,PH
2026-06-14,35,KLNC0181-M,mt,Kalyanpur,0.1283431960962517,PH
2026-06-14,36,DHNC0122-M,mt,Dhanmondi,0.1272337584812652,PH
2026-06-14,37,KLNC0180-M,mt,Kalyanpur,0.12074224526619673,PH
2026-06-14,38,DHNC0015-M,mt,Dhanmondi,0.1192146287983629,PH
2026-06-14,39,KLNC0233-M,mt,Kalyanpur,0.11807739590957536,PH
2026-06-14,40,DHNC0051-M,mt,Dhanmondi,0.11671926590577757,PH
2026-06-14,41,DHNC0113-M,mt,Dhanmondi,0.11649467220128998,PH
2026-06-14,42,KLNC0282-M,mt,Kalyanpur,0.11511230758634844,PH
2026-06-14,43,DHNC0017-M,mt,Dhanmondi,0.11481176969117612,PH
2026-06-14,44,DHNC0021-M,mt,Dhanmondi,0.11315738773501002,PH
2026-06-14,45,KLNC0190-M,mt,Kalyanpur,0.11130919659311447,PH
2026-06-14,46,KLNC0331-M,mt,Kalyanpur,0.11130876803900072,PH
2026-06-14,47,KLNC0167-M,mt,Kalyanpur,0.10959764604028219,PH
2026-06-14,48,KLNC0174-M,mt,Kalyanpur,0.10634544900646468,PH
2026-06-14,49,DHNC0141-M,mt,Dhanmondi,0.10473389844801977,PH
2026-06-14,50,DHNC0167-M,mt,Dhanmondi,0.10412288895847834,PH
2026-06-14,51,SB-Kalyanpur,sb,Kalyanpur,0.8,PH
2026-06-14,52,SB-Dhanmondi,sb,Dhanmondi,0.7562818942491132,PH
2026-06-15,1,KLNC0132-A05,ap,Kalyanpur,0.2541147132169576,PH
2026-06-15,2,KLNC0135-A06,ap,Kalyanpur,0.21301249444312606,PH
2026-06-15,3,KLNC0017-A05,ap,Kalyanpur,0.17882216221960778,PH
2026-06-15,4,DHNC0028-A06,ap,Dhanmondi,0.17004724035503627,PH
2026-06-15,5,DHNC0001-A06,ap,Dhanmondi,0.16564353593174042,PH
2026-06-15,6,KLNC0060-A05,ap,Kalyanpur,0.16122383301285279,PH
2026-06-15,7,KLNC0120-A05,ap,Kalyanpur,0.15079436273304975,PH
2026-06-15,8,DHNC0043-A06,ap,Dhanmondi,0.1506532209492797,PH
2026-06-15,9,KLNC0229-A06,ap,Kalyanpur,0.13625354977244644,PH
2026-06-15,10,DHNC0042-A04,ap,Dhanmondi,0.13510630428630352,PH
2026-06-15,11,KLNC0045-A06,ap,Kalyanpur,0.13356684567262775,PH
2026-06-15,12,KLNC0292-A02,ap,Kalyanpur,0.12923248033387472,PH
2026-06-15,13,DHNC0122-A05,ap,Dhanmondi,0.12518152647985883,PH
2026-06-15,14,KLNC0241-A04,ap,Kalyanpur,0.11989455596151652,PH
2026-06-15,15,KLNC0233-A05,ap,Kalyanpur,0.11365847664823164,PH
