date,frac_changed,alpha_P_max,trigger_alpha_w,trigger_frac_changed,active_rule,rules_agree
2026-06-14,1.0,,True,True,alpha_w,True
2026-06-15,0.00176,0.0,False,False,alpha_w,True
2026-06-16,0.4008,0.34448,True,True,alpha_w,True
2026-06-17,0.85664,0.3104,True,True,alpha_w,True
2026-06-18,0.5544,0.6548799999999999,True,True,alpha_w,True
2026-06-19,0.40864,0.34448,True,True,alpha_w,True
2026-06-20,0.85728,0.25072000000000005,True,True,alpha_w,True
2026-06-21,0.55776,0.5952,True,True,alpha_w,True
2026-06-22,0.00448,0.0,False,False,alpha_w,True
2026-06-23,0.55552,0.59232,True,True,alpha_w,True
2026-06-24,0.00256,0.06303999999999998,True,False,alpha_w,False
2026-06-25,0.55536,0.6553599999999999,True,True,alpha_w,True
2026-06-26,0.5568,0.5995199999999999,True,True,alpha_w,True
2026-06-27,0.00976,0.056479999999999975,True,False,alpha_w,False
2026-06-28,0.00144,0.0017599999999999838,False,False,alpha_w,True
2026-06-29,0.00208,0.0011200000000000099,False,False,alpha_w,True
2026-06-30,0.00368,0.006879999999999997,False,False,alpha_w,True
2026-07-01,0.5584,0.3264,True,True,alpha_w,True
2026-07-02,0.0,0.0,False,False,alpha_w,True
2026-07-03,0.5584,0.31952,True,True,alpha_w,True
2026-07-04,0.00112,0.0011200000000000099,False,False,alpha_w,True
2026-07-05,0.5584,0.31952,True,True,alpha_w,True
2026-07-06,0.0,0.0,False,False,alpha_w,True
2026-07-07,0.0,0.0,False,False,alpha_w,True
2026-07-08,0.5384,0.35503999999999997,True,True,alpha_w,True
2026-07-09,0.0,0.0,False,False,alpha_w,True
2026-07-10,0.54704,0.49040000000000006,True,True,alpha_w,True
2026-07-11,0.54704,0.49040000000000006,True,True,alpha_w,True
2026-07-12,0.0,0.0,False,False,alpha_w,True
2026-07-13,0.0,0.0,False,False,alpha_w,True
