consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained,saving_per_discomfort,participated
DHNC0001,Dhanmondi,Residential,Res-A,624.1576541510876,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,LT-A,571.5137687469058,485.78670343486993,0.0,85.72706531203589,0,542,1752.7300219977067,84.13671257001302,30,upper-middle,174354.85781382807,4,3.51773257994839,3.51773257994839,6.181,8298.66227434617,6876.9080323887065,84.13671257001302,15.01,30,1.0,571.5137687469058,485.78670343486993,6543.624852335609,5192.523439485267,0.0,5972.4216688910565,4685.658418557397,11.449636404531567,10.688895770037139,401-600,401-600,1351.101412850342,20.64759889723958,1421.7542419574638,85.7270653120359,15.000000000000005,0.0,0.0,0.85,True,-317.49189657735155,False,0.7708554060769719,True
DHNC0002,Dhanmondi,Residential,Res-C,624.1576541510876,0.16751650571588522,3.435802022763606,34.865609513673476,0.3952227202324324,LT-A,53.58179949121829,53.58179949121829,0.0,0.0,0,0,0.0,0.0,0,lower-middle,13466.875557381318,4,0.6367998302788257,0.6367998302788257,1.0005,305.4274073774816,305.4274073774816,0.0,6.18,30,1.0,53.58179949121829,53.58179949121829,391.81434689851545,391.81434689851545,0.0,331.135520855729,331.135520855729,7.312452187477042,7.312452187477042,1-75,1-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0003,Dhanmondi,Residential,Res-B,624.1576541510876,0.24267771006716132,1.902271623302216,12.764230591482916,0.4095113664584127,LT-A,146.01897337555084,129.16343536426965,0.0,16.85553801128121,0,488,215.1479739194987,21.7780479912374,25,middle,37403.4718797451,5,1.6709511352137625,1.6709511352137625,2.2145,1133.05643191717,979.5877586339104,21.7780479912374,8.5,30,1.0,146.01897337555084,129.16343536426965,1218.1787873767912,1067.7431106261065,0.0,1067.161273692182,923.889200596292,8.342606164225785,8.266605077627682,76-200,76-200,150.4356767506847,12.349228069767225,153.46867328325948,16.855538011281197,11.543388932019061,0.0,0.0,0.8845661106798093,True,-42.93424917757659,False,0.6992195836665085,True
DHNC0004,Dhanmondi,Residential,Res-C,624.1576541510876,0.17573881203669525,2.524259063390713,30.78434477752136,0.2871561615354153,LT-A,172.9555704162361,172.9555704162361,0.0,0.0,0,0,0.0,0.0,0,lower-middle,18000.40864776403,4,1.4555060460656335,1.4555060460656335,2.9354,1349.1407423027636,1349.1407423027636,0.0,8.5,30,1.0,172.9555704162361,172.9555704162361,1490.3796059649073,1490.3796059649073,0.0,1296.122348538007,1296.122348538007,8.61712405317822,8.61712405317822,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0005,Dhanmondi,Residential,Res-B,624.1576541510876,0.31821449115831296,1.251498681288837,16.44534998854809,0.4396689300965624,LT-A,147.72884978733393,138.0202800189622,0.0,9.708569768371724,0,246,159.66082772911028,21.955536103134,20,middle,45089.15300830378,5,0.4449729328061469,0.4449729328061469,0.5004,1166.56482894468,1064.5439143128808,21.955536103134,8.5,30,1.0,147.72884978733393,138.0202800189622,1157.8476243519553,1071.1986391692378,0.0,1081.6952231923383,999.1723801611788,7.837654094097114,7.761168424104551,76-200,76-200,86.64898518271752,7.483625941817237,102.02091463179909,9.708569768371717,6.571884762081264,0.0,0.0,0.9342811523791873,True,-51.05630644325876,False,0.5427066013319883,True
DHNC0006,Dhanmondi,Residential,Res-A,624.1576541510876,0.5119040979316096,2.188324479675829,18.70289060740381,0.38978441997885555,LT-A,429.77820778834956,365.3114766200971,0.0,64.46673116825245,0,611,1205.714220856735,63.66915081092313,30,upper-middle,71566.17369647385,4,2.148862498522333,2.143388349239195,4.765899999999999,6030.9875195232635,5029.372169402794,63.66915081092313,15.01,30,1.0,429.77820778834956,365.3114766200971,4247.395633848283,3427.6874153396006,0.0,3844.970898903127,3064.296405085334,9.882761752173284,9.382917413525988,401-600,301-400,819.7082185086824,19.299078521818778,1001.6153501204699,64.46673116825247,15.000000000000007,0.00547414928313783,0.25474637334413597,0.85,True,-322.3368515371294,False,0.6798528244331635,True
DHNC0007,Dhanmondi,Residential,Res-A,624.1576541510876,0.5005028170648765,2.0026000638373334,16.378962202385537,0.32257640996409576,LT-A,286.4994050050153,243.52449425426303,0.0,42.9749107507523,0,665,703.8844388374637,42.307911349141634,30,upper-middle,191024.38027519392,5,1.2928784985500148,1.131632621592311,3.0696,2475.678222626317,2046.4761020214864,42.307911349141634,9.1,30,1.0,286.4994050050153,243.52449425426303,2564.171174822922,2153.5459025994833,0.0,2313.1445855456395,1922.0728977137935,8.95000523571082,8.843241453777434,201-300,201-300,410.6252722234385,16.01395711235213,429.2021206048307,42.97491075075229,14.999999999999996,0.16124587695770387,12.47185076854042,0.85,True,-250.9512552648835,False,0.5833702942795946,True
DHNC0008,Dhanmondi,Residential,Res-B,624.1576541510876,0.40366424594913736,1.4376210206385707,18.92278205980839,0.39434358339972053,LT-A,250.50399584781502,224.14037217305088,0.0,26.363623674764252,0,472,498.8731051043687,37.11562225741142,26,middle,35586.75840057057,4,1.0388967635580524,1.0388967635580524,3.1855,2120.510906072385,1851.4778006446886,37.11562225741142,9.1,30,1.0,250.50399584781502,224.14037217305088,2225.3462303258725,1973.4418061135011,0.0,1985.5863622151167,1745.677386774763,8.883475981268594,8.804490627819053,201-300,201-300,251.9044242123714,11.319785693549507,269.0331054276962,26.363623674764142,10.524232791392453,0.0,0.0,0.894757672086075,True,-209.85305863458586,False,0.5049468925763612,True
DHNC0009,Dhanmondi,Residential,Res-C,624.1576541510876,0.18526330769181754,2.6216301769169332,35.588139728700725,0.32070198115000986,LT-A,82.1478846166867,82.1478846166867,0.0,0.0,0,0,0.0,0.0,0,lower-middle,17549.61363711169,3,0.6545763315066526,0.6545763315066526,2.6647,643.0979460502544,643.0979460502544,0.0,8.5,30,1.0,82.1478846166867,82.1478846166867,667.9831402039287,667.9831402039287,0.0,524.2570192418369,524.2570192418369,8.131470984564357,8.131470984564357,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0010,Dhanmondi,Residential,Res-B,624.1576541510876,0.3662534609067982,2.1483498639508403,20.410545414071773,0.2756087059103804,LT-A,141.05053621708373,136.10858788300982,0.0,4.94194833407394,0,210,100.8678609066125,14.82584500222182,10,middle,31375.265750045997,4,0.9461362814696509,0.9461362814696509,1.79,1104.0523443029674,1050.5406853300199,14.82584500222182,8.5,30,1.0,141.05053621708373,136.10858788300982,1155.1150357374725,1111.0081468558628,0.0,1024.9295578452118,982.9229970055835,8.189370042235737,8.1626601534564,76-200,76-200,44.10688888160962,3.8183979531917345,53.511658972947544,4.941948334073913,3.5036721352608056,0.0,0.0,0.9649632786473917,True,-41.93512702278107,False,0.43727395907052635,True
