date,frac_changed,alpha_P_max,trigger_alpha_w,trigger_frac_changed,active_rule,rules_agree
2026-06-14,1.0,,True,True,alpha_w,True
2026-06-15,0.00384,0.0012800000000000589,False,False,alpha_w,True
2026-06-16,0.01504,0.011840000000000073,True,False,alpha_w,False
2026-06-17,0.5288,0.46048,True,True,alpha_w,True
2026-06-18,0.53968,0.46863999999999995,True,True,alpha_w,True
2026-06-19,0.01584,0.016479999999999828,True,False,alpha_w,False
2026-06-20,0.52576,0.4524800000000001,True,True,alpha_w,True
2026-06-21,0.54304,0.47504,True,True,alpha_w,True
2026-06-22,0.0072,0.0046399999999999775,False,False,alpha_w,True
2026-06-23,0.54272,0.4728,True,True,alpha_w,True
2026-06-24,0.00336,0.0014399999999999968,False,False,alpha_w,True
2026-06-25,0.5384,0.4680000000000001,True,True,alpha_w,True
2026-06-26,0.5384,0.46416000000000013,True,True,alpha_w,True
2026-06-27,0.00448,0.0038399999999999546,False,False,alpha_w,True
2026-06-28,0.004,0.003359999999999974,False,False,alpha_w,True
2026-06-29,0.00384,0.0019200000000000328,False,False,alpha_w,True
2026-06-30,0.00768,0.0048000000000000265,False,False,alpha_w,True
2026-07-01,0.55808,0.2984,True,True,alpha_w,True
2026-07-02,0.0048,0.0022399999999999087,False,False,alpha_w,True
2026-07-03,0.55792,0.29824000000000006,True,True,alpha_w,True
2026-07-04,0.00112,0.0011200000000000099,False,False,alpha_w,True
2026-07-05,0.56304,0.30032000000000003,True,True,alpha_w,True
2026-07-06,0.0072,0.005280000000000062,False,False,alpha_w,True
2026-07-07,0.01264,0.009120000000000017,False,False,alpha_w,True
2026-07-08,0.516,0.31744000000000006,True,True,alpha_w,True
2026-07-09,0.0032,0.0,False,False,alpha_w,True
2026-07-10,0.51152,0.34368,True,True,alpha_w,True
2026-07-11,0.51152,0.34368,True,True,alpha_w,True
2026-07-12,0.01536,0.0,False,False,alpha_w,True
2026-07-13,0.01312,0.0,False,False,alpha_w,True
