date,frac_changed,alpha_P_max,trigger_alpha_w,trigger_frac_changed,active_rule,rules_agree
2026-06-14,1.0,,True,True,alpha_w,True
2026-06-15,0.0,0.0,False,False,alpha_w,True
2026-06-16,0.0,0.0,False,False,alpha_w,True
2026-06-17,0.56384,0.5862399999999999,True,True,alpha_w,True
2026-06-18,0.56384,0.5862399999999999,True,True,alpha_w,True
2026-06-19,0.00352,0.0,False,False,alpha_w,True
2026-06-20,0.56384,0.5862399999999999,True,True,alpha_w,True
2026-06-21,0.56384,0.5862399999999999,True,True,alpha_w,True
2026-06-22,0.0,0.0,False,False,alpha_w,True
2026-06-23,0.56432,0.58576,True,True,alpha_w,True
2026-06-24,0.00032,0.00031999999999998696,False,False,alpha_w,True
2026-06-25,0.56432,0.58576,True,True,alpha_w,True
2026-06-26,0.56432,0.58576,True,True,alpha_w,True
2026-06-27,0.00032,0.0016000000000000458,False,False,alpha_w,True
2026-06-28,0.00032,0.0016000000000000458,False,False,alpha_w,True
2026-06-29,0.0,0.0,False,False,alpha_w,True
2026-06-30,0.00032,0.00048000000000003595,False,False,alpha_w,True
2026-07-01,0.53632,0.3614400000000001,True,True,alpha_w,True
2026-07-02,0.0,0.0,False,False,alpha_w,True
2026-07-03,0.53632,0.3614400000000001,True,True,alpha_w,True
2026-07-04,0.0,0.0,False,False,alpha_w,True
2026-07-05,0.53616,0.36160000000000003,True,True,alpha_w,True
2026-07-06,0.0,0.0,False,False,alpha_w,True
2026-07-07,0.00016,0.00015999999999999348,False,False,alpha_w,True
2026-07-08,0.5576,0.33343999999999996,True,True,alpha_w,True
2026-07-09,0.0,0.0,False,False,alpha_w,True
2026-07-10,0.53456,0.48896000000000006,True,True,alpha_w,True
2026-07-11,0.53456,0.48896000000000006,True,True,alpha_w,True
2026-07-12,0.0,0.0,False,False,alpha_w,True
2026-07-13,0.0,0.0,False,False,alpha_w,True
