nodeId,name,substation_id,label
WARD_KAL_1,Kalyanpur supply ward 1,SUB_Kalyanpur,Ward
WARD_KAL_2,Kalyanpur supply ward 2,SUB_Kalyanpur,Ward
WARD_KAL_3,Kalyanpur supply ward 3,SUB_Kalyanpur,Ward
WARD_KAL_4,Kalyanpur supply ward 4,SUB_Kalyanpur,Ward
WARD_KAL_5,Kalyanpur supply ward 5,SUB_Kalyanpur,Ward
WARD_DHA_1,Dhanmondi supply ward 1,SUB_Dhanmondi,Ward
WARD_DHA_2,Dhanmondi supply ward 2,SUB_Dhanmondi,Ward
WARD_DHA_3,Dhanmondi supply ward 3,SUB_Dhanmondi,Ward
WARD_DHA_4,Dhanmondi supply ward 4,SUB_Dhanmondi,Ward
WARD_DHA_5,Dhanmondi supply ward 5,SUB_Dhanmondi,Ward
