:START_ID,:END_ID,:TYPE
MTR_KSM0001,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0002,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0003,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0004,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0005,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0006,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0007,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0008,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0009,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0010,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0011,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0012,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0013,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0014,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0015,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0016,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0017,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0018,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0019,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0020,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0021,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0022,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0023,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0024,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0025,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0026,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0027,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0028,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0029,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0030,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0031,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0032,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0033,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0034,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0035,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0036,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0037,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0038,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0039,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0040,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0041,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0042,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0043,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0044,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0045,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0046,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0047,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0048,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0049,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0050,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0051,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0052,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0053,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0054,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0055,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0056,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0057,SUB_Kalyanpur,FEEDS_FROM
MTR_KSM0058,SUB_Kalyanpur,FEEDS_FROM
