:START_ID,:END_ID,:TYPE,income_bdt
USER_KHH0001,TIER_lower_middle,IN_TIER,26181
USER_KHH0002,TIER_lower_middle,IN_TIER,30319
USER_KHH0003,TIER_lower_middle,IN_TIER,16593
USER_KHH0004,TIER_lower_middle,IN_TIER,29905
USER_KHH0005,TIER_lower_middle,IN_TIER,16713
USER_KHH0006,TIER_lower_middle,IN_TIER,24877
USER_KHH0007,TIER_lower_middle,IN_TIER,24226
USER_KHH0008,TIER_lower_middle,IN_TIER,26064
USER_KHH0009,TIER_lower_middle,IN_TIER,18942
USER_KHH0010,TIER_lower_middle,IN_TIER,33032
USER_KHH0011,TIER_lower_middle,IN_TIER,33537
USER_KHH0012,TIER_lower_middle,IN_TIER,27987
USER_KHH0013,TIER_lower_middle,IN_TIER,16270
USER_KHH0014,TIER_lower_middle,IN_TIER,33519
USER_KHH0015,TIER_lower_middle,IN_TIER,30766
USER_KHH0016,TIER_lower_middle,IN_TIER,20449
USER_KHH0017,TIER_lower_middle,IN_TIER,20991
USER_KHH0018,TIER_lower_middle,IN_TIER,19798
USER_KHH0019,TIER_lower_middle,IN_TIER,15973
USER_KHH0020,TIER_lower_middle,IN_TIER,26771
USER_KHH0021,TIER_lower_middle,IN_TIER,30724
USER_KHH0022,TIER_lower_middle,IN_TIER,22567
USER_KHH0023,TIER_lower_middle,IN_TIER,25244
USER_KHH0024,TIER_lower_middle,IN_TIER,24833
USER_KHH0025,TIER_lower_middle,IN_TIER,30149
USER_KHH0026,TIER_lower_middle,IN_TIER,30721
USER_KHH0027,TIER_lower_middle,IN_TIER,16350
USER_KHH0028,TIER_lower_middle,IN_TIER,21998
USER_KHH0029,TIER_lower_middle,IN_TIER,31912
USER_KHH0030,TIER_lower_middle,IN_TIER,34256
USER_KHH0031,TIER_lower_middle,IN_TIER,26153
USER_KHH0032,TIER_lower_middle,IN_TIER,31869
USER_KHH0033,TIER_lower_middle,IN_TIER,28333
USER_KHH0034,TIER_lower_middle,IN_TIER,32997
USER_KHH0035,TIER_lower_middle,IN_TIER,29737
USER_KHH0036,TIER_lower_middle,IN_TIER,23261
USER_KHH0037,TIER_lower_middle,IN_TIER,30761
USER_KHH0038,TIER_lower_middle,IN_TIER,27597
USER_KHH0039,TIER_lower_middle,IN_TIER,23702
USER_KHH0040,TIER_lower_middle,IN_TIER,29749
USER_KHH0041,TIER_lower_middle,IN_TIER,22236
USER_KHH0042,TIER_lower_middle,IN_TIER,20254
USER_KHH0043,TIER_middle,IN_TIER,61277
USER_KHH0044,TIER_middle,IN_TIER,40300
USER_KHH0045,TIER_middle,IN_TIER,56350
USER_KHH0046,TIER_middle,IN_TIER,63107
USER_KHH0047,TIER_middle,IN_TIER,64924
USER_KHH0048,TIER_middle,IN_TIER,45620
USER_KHH0049,TIER_middle,IN_TIER,61429
USER_KHH0050,TIER_middle,IN_TIER,39329
