timestamp,household_id,appliance_name,category,power_w
2024-03-11 00:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 00:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 01:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 01:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 02:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 02:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 03:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 03:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 04:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 04:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 05:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 05:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 06:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 06:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 07:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 07:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 08:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 08:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 09:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 09:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 10:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 10:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 11:00:00,KHH0001,ceiling_fan,Curtailable,46.8
2024-03-11 11:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 12:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 12:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 13:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 13:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 14:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 14:30:00,KHH0001,ceiling_fan,Curtailable,46.8
2024-03-11 15:00:00,KHH0001,ceiling_fan,Curtailable,46.8
2024-03-11 15:30:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 16:00:00,KHH0001,ceiling_fan,Curtailable,0.0
2024-03-11 16:30:00,KHH0001,ceiling_fan,Curtailable,46.8
2024-03-11 17:00:00,KHH0001,ceiling_fan,Curtailable,0.0
