timestamp,residential_lower_middle_kw,residential_middle_kw,residential_upper_middle_kw,commercial_kw,educational_kw,health_kw,industrial_kw,infrastructure_kw,total_mw
2024-01-01 00:00:00,1771.6,6484.3,4352.4,1658.7,328.6,851.1,556.9,3395.6,19.399
2024-01-01 00:30:00,1760.5,6557.6,4304.1,1708.5,304.3,897.6,572.8,3440.8,19.546
2024-01-01 01:00:00,1742.5,6464.4,4320.6,1629.1999999999998,315.0,827.8,564.4,3287.8,19.152
2024-01-01 01:30:00,1714.0,6177.8,4078.5,1558.6,315.4,827.9,611.8,3419.0,18.703
2024-01-01 02:00:00,1688.5,5821.3,3861.4,1654.3,306.5,865.9,569.1,2589.6000000000004,17.357
2024-01-01 02:30:00,1674.0,5672.4,3574.7,1637.2,312.0,829.8,596.9,2542.0,16.839
2024-01-01 03:00:00,1674.8,5699.3,3560.7,1575.3999999999999,282.0,859.8,581.2,2808.9999999999995,17.042
2024-01-01 03:30:00,1695.7,5708.8,3547.1,1533.2,294.3,835.0,528.6,2512.9,16.656
2024-01-01 04:00:00,1690.5,5699.5,3509.8,1641.8000000000002,310.0,885.9,569.5,4759.599999999999,19.067
2024-01-01 04:30:00,1940.0,6372.9,3829.7,1519.0,299.1,839.9,578.1,4827.799999999999,20.206
2024-01-01 05:00:00,2185.4,6993.7,4135.2,1624.8,307.9,878.6,583.3,5352.1,22.061
2024-01-01 05:30:00,2441.0,8969.2,6874.9,1656.3,317.6,785.7,536.2,3156.3,24.737
2024-01-01 06:00:00,3032.6,13502.1,11494.8,1741.8,305.6,879.9,565.8,2730.3,34.253
2024-01-01 06:30:00,3574.8,17942.2,16183.8,1670.1,304.1,881.3,554.7,2775.4,43.886
2024-01-01 07:00:00,4224.6,21285.4,18115.8,1689.8,273.4,865.3,552.5,2680.5,49.687
2024-01-01 07:30:00,4436.9,22755.2,18587.0,1673.6999999999998,285.9,802.2,534.2,2553.5,51.629
2024-01-01 08:00:00,3967.1,19602.8,16855.2,1615.7,6012.9,1422.6,567.3,2804.2,52.848
2024-01-01 08:30:00,3472.8,15930.0,12963.5,1640.0,5677.2,1369.0,533.6,2723.0,44.309
2024-01-01 09:00:00,2823.8,10747.6,8542.3,6145.299999999999,5735.1,1583.1,8349.8,606.9,44.534
2024-01-01 09:30:00,2868.9,9843.3,6200.9,6038.6,6036.8,1549.4,8135.4,601.5,41.275
2024-01-01 10:00:00,2867.3,10027.1,6601.5,10823.2,6049.5,1392.3,8205.9,614.8,46.582
2024-01-01 10:30:00,2424.9,8684.4,6042.7,10622.599999999999,5814.6,1507.4,8341.0,629.0,44.067
2024-01-01 11:00:00,2785.8,11819.4,7701.4,10570.7,5875.2,1670.7,8006.1,658.0,49.087
2024-01-01 11:30:00,3204.6,13894.4,9050.8,10951.3,6126.6,1506.6,7614.1,623.9,52.972
2024-01-01 12:00:00,3906.9,17815.9,11215.7,11340.5,6278.2,1599.7,7673.8,632.3,60.463
2024-01-01 12:30:00,3950.8,18374.2,11594.1,11070.5,5999.1,1517.8,8544.2,634.3,61.685
2024-01-01 13:00:00,3260.0,15471.8,10105.2,11305.4,6413.2,1649.2,8285.6,1226.8,57.717
2024-01-01 13:30:00,2727.8,12453.7,8631.8,11295.5,277.7,1612.7,7314.4,1275.8000000000002,45.589
2024-01-01 14:00:00,2094.8,8673.7,7059.4,11233.9,307.1,1299.0,8148.1,632.6,39.449
2024-01-01 14:30:00,2142.6,8542.3,7962.1,11487.9,323.0,1323.9,8005.5,602.8,40.39
2024-01-01 15:00:00,2134.7,8453.2,7933.8,11269.3,303.0,1356.4,7744.5,652.4,39.847
2024-01-01 15:30:00,2044.8,8389.1,7535.2,11149.0,289.4,1258.3,7788.2,623.7,39.078
2024-01-01 16:00:00,1924.0,8198.3,6470.7,11268.3,307.1,1274.6,8357.6,568.0,38.369
2024-01-01 16:30:00,1846.9,7657.2,5671.2,11877.5,298.4,1321.6,7784.6,1073.4,37.531
2024-01-01 17:00:00,2734.5,10059.9,6507.5,11407.7,290.5,1328.1,7507.5,2635.3,42.471
2024-01-01 17:30:00,4042.8,13956.7,8325.7,11422.4,302.6,1308.5,8168.5,5045.5,52.573
2024-01-01 18:00:00,5217.1,17949.8,10656.6,10948.400000000001,297.5,1276.7,535.6,4922.2,51.804
2024-01-01 18:30:00,6314.0,22944.1,13838.9,11644.1,300.4,1246.2,550.0,4117.2,60.955
2024-01-01 19:00:00,7011.6,26537.9,16255.4,11360.6,312.7,1252.8,537.6,4199.9,67.468
2024-01-01 19:30:00,7840.1,30303.8,18739.3,11356.0,330.1,1252.0,570.2,4128.7,74.52
2024-01-01 20:00:00,7820.7,29886.1,18697.5,10671.9,295.6,1192.0,534.4,4163.4,73.262
2024-01-01 20:30:00,6801.5,25145.6,16171.9,10951.2,306.6,1160.5,573.6,4152.0,65.263
2024-01-01 21:00:00,5775.4,20376.8,13574.5,11423.800000000001,283.1,846.7,583.6,2595.5,55.459
2024-01-01 21:30:00,4779.1,16101.9,11102.6,1739.0,303.0,819.4,555.8,2639.0,38.04
2024-01-01 22:00:00,4768.7,16157.7,11016.5,1687.9,293.7,847.3,588.6,2543.4,37.904
2024-01-01 22:30:00,4740.1,15903.2,10619.8,1613.8,315.0,842.1,562.8,2663.4,37.26
2024-01-01 23:00:00,3729.8,12821.0,8355.7,1677.8999999999999,278.7,894.8,532.8,3301.2,31.592
2024-01-01 23:30:00,2732.4,9627.2,6049.5,1705.1,312.6,836.8,584.3,3400.0,25.248
2024-01-02 00:00:00,1753.1,6731.3,4138.2,1595.4,284.8,881.7,523.4,3202.1000000000004,19.11
