household_id,substation,category,archetype,income_band,w_h,A_energy_kwh,B_energy_kwh,energy_reduction_kwh,energy_reduction_pct,A_bill_tk,B_bill_tk,bill_reduction_tk,bill_reduction_pct,incentive_tk,discomfort_tk,net_benefit_tk,gained,A_qoe,B_qoe,qoe_difference,A_peak_kw,B_peak_kw,peak_reduction_pct,n_dr_events,A_slab,B_slab
DHNC0001,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,741.8844889317587,725.9446240923472,15.939864839411484,2.1485642410941,9581.274447114316,9291.025040024535,290.249407089781,3.0293402896646824,191.278378072937,325.8980060606318,155.62977910208622,True,1.0,0.9785143575890591,0.021485642410940864,4.522244194721653,4.522244194721653,0.0,10,601-above,601-above
DHNC0002,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,206.54885510342336,196.54625506863385,10.00260003478951,4.842728384904867,1827.18877051321,1733.8263589609178,93.36241155229231,5.109620475943996,38.48682844134284,178.69003831895117,-46.84079832531603,False,1.0,0.943764098401747,0.05623590159825298,0.9056059902486513,0.9131076695790628,-0.8283601711105876,30,201-300,76-200
DHNC0003,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,176.71666423334503,175.0195342200155,1.6971300133295415,0.9603678411949712,1499.4542282826044,1484.3399097882937,15.114318494310737,1.0079879871772996,20.36556015995439,25.944626661839727,9.535251992425401,True,1.0,0.9903963215880504,0.009603678411949645,0.9728447772494944,0.9728447772494944,0.0,10,76-200,76-200
DHNC0004,Dhanmondi,Residential,Res-B,middle,597.3547737671756,125.77903603831048,125.77903603831048,0.0,0.0,1040.619936641921,1040.6433410585719,-0.023404416650919302,-0.0022490840149041657,0.0,0.0,-0.023404416650919302,False,1.0,1.0,0.0,0.7631324280611624,0.7631324280611624,0.0,0,76-200,76-200
DHNC0005,Dhanmondi,Residential,Res-B,middle,597.3547737671756,196.82248550892285,196.82248550892285,0.0,0.0,1730.9410931671366,1730.9777170402576,-0.036623873121016004,-0.002115835903693556,0.0,0.0,-0.036623873121016004,False,1.0,1.0,0.0,0.9916189913789257,0.9916189913789257,0.0,0,76-200,76-200
DHNC0006,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,114.42690706294435,114.42690706294435,0.0,0.0,860.6101455367783,860.6314375985824,-0.02129206180404708,-0.002474065860653645,0.0,0.0,-0.02129206180404708,False,1.0,1.0,0.0,0.2689426569645353,0.2689426569645353,0.0,0,76-200,76-200
DHNC0007,Dhanmondi,Residential,Res-C,lower-middle,597.3547737671756,149.25384920148198,149.25384920148198,0.0,0.0,1234.0405541232267,1234.0683266311382,-0.027772507911549837,-0.002250534459240841,0.0,0.0,-0.027772507911549837,False,1.0,1.0,0.0,1.2511246302574692,1.2511246302574692,0.0,0,76-200,76-200
DHNC0008,Dhanmondi,Residential,Res-B,middle,597.3547737671756,188.3564219134829,188.3564219134829,0.0,0.0,1595.4187055778348,1595.4537541226177,-0.03504854478296693,-0.0021968242355709946,0.0,0.0,-0.03504854478296693,False,1.0,1.0,0.0,0.922622061291981,0.922622061291981,0.0,0,76-200,76-200
DHNC0009,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,398.077109371363,379.65046733111654,18.426642040246463,4.628912742394437,3724.025751760138,3537.9688842213955,186.0568675387426,4.996121937416892,95.70232971230193,344.0572383124281,-62.29804106138357,False,1.0,0.9537108725760558,0.0462891274239442,2.560466022218713,2.560466022218713,0.0,22,301-400,301-400
DHNC0010,Dhanmondi,Residential,Res-A,upper-middle,597.3547737671756,196.77862878463787,196.77862878463787,0.0,0.0,1738.4788519028932,1738.5154676153454,-0.0366157124522033,-0.002106192572439101,0.0,0.0,-0.0366157124522033,False,1.0,1.0,0.0,0.9831174001378662,0.9831174001378662,0.0,0,76-200,76-200
