household_id,substation,category,archetype,w_h,represents_population,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,connected_load_kw,n_appliances,tariff_class,id
DHNC0001,Dhanmondi,Residential,Res-A,624.1576541510876,True,0.48811259340679575,1.6288542526025491,20.445468599887178,0.336160097220683,6.181,10,LT-A,DHNC0001
DHNC0002,Dhanmondi,Residential,Res-C,624.1576541510876,True,0.16751650571588522,3.435802022763606,34.865609513673476,0.3952227202324324,1.0005,5,LT-A,DHNC0002
DHNC0003,Dhanmondi,Residential,Res-B,624.1576541510876,True,0.24267771006716132,1.902271623302216,12.764230591482916,0.4095113664584127,2.2145,6,LT-A,DHNC0003
DHNC0004,Dhanmondi,Residential,Res-C,624.1576541510876,True,0.17573881203669525,2.524259063390713,30.78434477752136,0.2871561615354153,2.9354,8,LT-A,DHNC0004
DHNC0005,Dhanmondi,Residential,Res-B,624.1576541510876,True,0.31821449115831296,1.251498681288837,16.44534998854809,0.4396689300965624,0.5004,5,LT-A,DHNC0005
DHNC0006,Dhanmondi,Residential,Res-A,624.1576541510876,True,0.5119040979316096,2.188324479675829,18.70289060740381,0.38978441997885555,4.765899999999999,9,LT-A,DHNC0006
DHNC0007,Dhanmondi,Residential,Res-A,624.1576541510876,True,0.5005028170648765,2.0026000638373334,16.378962202385537,0.32257640996409576,3.0696,9,LT-A,DHNC0007
DHNC0008,Dhanmondi,Residential,Res-B,624.1576541510876,True,0.40366424594913736,1.4376210206385707,18.92278205980839,0.39434358339972053,3.1855,9,LT-A,DHNC0008
DHNC0009,Dhanmondi,Residential,Res-C,624.1576541510876,True,0.18526330769181754,2.6216301769169332,35.588139728700725,0.32070198115000986,2.6647,6,LT-A,DHNC0009
DHNC0010,Dhanmondi,Residential,Res-B,624.1576541510876,True,0.3662534609067982,2.1483498639508403,20.410545414071773,0.2756087059103804,1.79,7,LT-A,DHNC0010
DHNC0011,Dhanmondi,Residential,Res-A,624.1576541510876,True,0.6763234182197071,2.935853807947811,24.271367128504394,0.42214941277038187,4.455099999999999,8,LT-A,DHNC0011
DHNC0012,Dhanmondi,Residential,Res-A,624.1576541510876,True,0.6406138095796461,3.303330513430092,20.105010178609128,0.4954218525619628,3.5451,9,LT-A,DHNC0012
